date,nav,daily_ret
2024-01-04,0.7397,-1.0567148207597632
2024-01-05,0.717,-3.0688116804109877
2024-01-08,0.6951,-3.054393305439318
2024-01-09,0.6913,-0.5466839303697291
2024-01-10,0.6812,-1.4610154780847706
2024-01-11,0.6961,2.1873165002936013
2024-01-12,0.6922,-0.5602643298376675
2024-01-15,0.6838,-1.2135221034383248
2024-01-16,0.6755,-1.2138052062006355
2024-01-17,0.6548,-3.064396743153208
2024-01-18,0.6581,0.5039706780696429
2024-01-19,0.6447,-2.036164716608413
2024-01-22,0.605,-6.157902900573919
2024-01-23,0.61,0.8264462809917328
2024-01-24,0.615,0.8196721311475308
2024-01-25,0.6399,4.048780487804882
2024-01-26,0.6236,-2.5472730114080244
2024-01-29,0.6047,-3.030788967286724
2024-01-30,0.5867,-2.976682652554985
2024-01-31,0.5565,-5.147434804840634
2024-02-01,0.5565,0.0
2024-02-02,0.53,-4.761904761904756
2024-02-05,0.4965,-6.320754716981137
2024-02-06,0.5316,7.069486404833825
2024-02-07,0.5543,4.2701279157261185
2024-02-08,0.5821,5.015334656323289
2024-02-19,0.5805,-0.2748668613640204
2024-02-20,0.5895,1.5503875968992276
2024-02-21,0.5904,0.15267175572519776
2024-02-22,0.6058,2.6084010840108363
2024-02-23,0.6211,2.5255860019808507
2024-02-26,0.627,0.9499275478988878
2024-02-27,0.662,5.582137161084533
2024-02-28,0.6422,-2.9909365558912437
2024-02-29,0.6621,3.098723139208981
2024-03-01,0.674,1.797311584352812
2024-03-04,0.6765,0.37091988130562026
2024-03-05,0.671,-0.8130081300812941
2024-03-06,0.6707,-0.04470938897169763
2024-03-07,0.6554,-2.281198747577151
2024-03-08,0.6744,2.8989929813854065
2024-03-11,0.6782,0.5634638196915898
2024-03-12,0.6862,1.1795930404010724
2024-03-13,0.6926,0.9326726901777826
2024-03-14,0.6817,-1.5737799595726298
2024-03-15,0.6884,0.9828370250843488
2024-03-18,0.7017,1.9320162696106813
2024-03-19,0.7044,0.3847798204360986
2024-03-20,0.7069,0.3549119818285096
2024-03-21,0.7081,0.16975526948648234
2024-03-22,0.6913,-2.3725462505295725
2024-03-25,0.6696,-3.1390134529148073
2024-03-26,0.6636,-0.8960573476702538
2024-03-27,0.6292,-5.183845690174804
2024-03-28,0.6647,5.642085187539725
2024-03-29,0.6819,2.5876335188806943
2024-04-01,0.6885,0.9678838539375345
2024-04-02,0.6784,-1.4669571532316628
2024-04-03,0.6651,-1.9604952830188593
2024-04-08,0.6403,-3.728762592091417
2024-04-09,0.643,0.4216773387474726
2024-04-10,0.6258,-2.6749611197511625
2024-04-11,0.6164,-1.502077341003527
2024-04-12,0.613,-0.5515898767034288
2024-04-15,0.6066,-1.044045676998362
2024-04-16,0.5735,-5.456643587207388
2024-04-17,0.6039,5.300784655623358
2024-04-18,0.607,0.5133300215267367
2024-04-19,0.6071,0.016474464579907533
2024-04-22,0.6162,1.498929336188426
2024-04-23,0.6106,-0.9087958455046952
2024-04-24,0.6309,3.3245987553226275
2024-04-25,0.6183,-1.9971469329529312
2024-04-26,0.6288,1.6982047549733315
2024-04-29,0.638,1.4631043256997378
2024-04-30,0.6258,-1.9122257053291514
2024-05-06,0.6326,1.0866091403004097
2024-05-07,0.6595,4.25229212772682
2024-05-08,0.6494,-1.5314632297194875
2024-05-09,0.6548,0.8315368032029591
2024-05-10,0.6455,-1.420281001832635
2024-05-13,0.6274,-2.804027885360183
2024-05-14,0.6234,-0.6375518010838355
2024-05-15,0.6208,-0.41706769329482585
2024-05-16,0.6206,-0.03221649484536071
2024-05-17,0.6326,1.9336126329358772
2024-05-20,0.6427,1.596585520075866
2024-05-21,0.6365,-0.9646802551735001
2024-05-22,0.6401,0.565593087195615
2024-05-23,0.6243,-2.468364318075311
2024-05-24,0.6031,-3.3958032996956544
2024-05-27,0.6052,0.3482009616978976
